BBG Code,Ticker,MAIN UN
UAL UQ,UAL,UQ
CSX UQ,CSX,UQ
NFLX UQ,NFLX,UQ
ASML UQ,ASML,UQ
ERIC UQ,ERIC,UQ
ISRG UQ,ISRG,UQ
CDNS UQ,CDNS,UQ
BIIB UQ,BIIB,UQ
MLCO UQ,MLCO,UQ
TXN UQ,TXN,UQ
ALXN UQ,ALXN,UQ
EBAY UQ,EBAY,UQ
LRCX UQ,LRCX,UQ
NDAQ UQ,NDAQ,UQ
PYPL UQ,PYPL,UQ
TSLA UQ,TSLA,UQ
VRTX UQ,VRTX,UQ
MSFT UQ,MSFT,UQ
ALGN UQ,ALGN,UQ
AMZN UQ,AMZN,UQ
CMCSA UQ,CMCSA,UQ
FSLR UQ,FSLR,UQ
GILD UQ,GILD,UQ
ILMN UQ,ILMN,UQ
INTC UQ,INTC,UQ
TMUS UQ,TMUS,UQ
GT UQ,GT,UQ
CHKP UQ,CHKP,UQ
GOOG UQ,GOOG,UQ
GOOGL UQ,GOOGL,UQ
WBA UQ,WBA,UQ
AMD UQ,AMD,UQ
AMGN UQ,AMGN,UQ
BIDU UQ,BIDU,UQ
CHRW UQ,CHRW,UQ
EA UQ,EA,UQ
INCY UQ,INCY,UQ
AAPL UQ,AAPL,UQ
APA UQ,APA,UQ
CME UQ,CME,UQ
CRTO UQ,CRTO,UQ
CTSH UQ,CTSH,UQ
EQIX UQ,EQIX,UQ
META UQ,META,UQ
MAT UQ,MAT,UQ
MDLZ UQ,MDLZ,UQ
SBUX UQ,SBUX,UQ
SFM UQ,SFM,UQ
WYNN UQ,WYNN,UQ
CREE UQ,CREE,UQ
EXC UQ,EXC,UQ
JOBS UQ,JOBS,UQ
KHC UQ,KHC,UQ
STX UQ,STX,UQ
CSIQ UQ,CSIQ,UQ
VOD UQ,VOD,UQ
CSCO UQ,CSCO,UQ
AMAT UQ,AMAT,UQ
JD UQ,JD,UQ
NVDA UQ,NVDA,UQ
ADI UQ,ADI,UQ
PDD UQ,PDD,UQ
SPLK UQ,SPLK,UQ
MAR UQ,MAR,UQ
ENDP UQ,ENDP,UQ
FOSL UQ,FOSL,UQ
GLNG UQ,GLNG,UQ
REGN UQ,REGN,UQ
EXPE UQ,EXPE,UQ
FOXA UQ,FOXA,UQ
NTES UQ,NTES,UQ
QCOM UQ,QCOM,UQ
TRIP UQ,TRIP,UQ
ATVI UQ,ATVI,UQ
BKNG UQ,BKNG,UQ
GPRO UQ,GPRO,UQ
SWKS UQ,SWKS,UQ
LI UQ,LI,UQ
ADBE UQ,ADBE,UQ
COST UQ,COST,UQ
MU UQ,MU,UQ
CONN UQ,CONN,UQ
WDAY UQ,WDAY,UQ
TCOM UQ,TCOM,UQ
AVGO UQ,AVGO,UQ
MRVL UQ,MRVL,UQ
ULTA UQ,ULTA,UQ
PEP UQ,PEP,UQ
CHTR UQ,CHTR,UQ
RYAAY UQ,RYAAY,UQ
XLNX UQ,XLNX,UQ
IRBT UQ,IRBT,UQ
BYND UQ,BYND,UQ
IQ UQ,IQ,UQ
ZM UQ,ZM,UQ
LULU UQ,LULU,UQ
DOCU UQ,DOCU,UQ
OKTA UQ,OKTA,UQ
ZS UQ,ZS,UQ
BNTX UQ,BNTX,UQ
INO UQ,INO,UQ
DXCM UQ,DXCM,UQ
PTON UQ,PTON,UQ
LYFT UQ,LYFT,UQ
SNPS UQ,SNPS,UQ
MRNA UQ,MRNA,UQ
CRWD UQ,CRWD,UQ
MELI UQ,MELI,UQ
KLAC UQ,KLAC,UQ
BILI UQ,BILI,UQ
REAL UQ,REAL,UQ
DLTR UQ,DLTR,UQ
ROKU UQ,ROKU,UQ
SEDG UQ,SEDG,UQ
TLRY UQ,TLRY,UQ
NXPI UQ,NXPI,UQ
AEP UQ,AEP,UQ
AAL UQ,AAL,UQ
TRUE UQ,TRUE,UQ
SATS UQ,SATS,UQ
CD UQ,CD,UQ
GLPG UQ,GLPG,UQ
AZN UQ,AZN,UQ
TSCO UQ,TSCO,UQ
CAC UQ,CAC,UQ
SCR UQ,SCR,UQ
ADP UQ,ADP,UQ
ARGX UQ,ARGX,UQ
OPEN UQ,OPEN,UQ
AVIR UQ,AVIR,UQ
DIGI UV,DIGI,UV
ROSN UV,ROSN,UV
EXCL UV,EXCL,UV
INTP UV,INTP,UV
ISAT UV,ISAT,UV
BAYN UV,BAYN,UV
LEAS UV,LEAS,UV
INTO UV,INTO,UV
PLUG UR,PLUG,UR
MTC UR,MTC,UR
ENG UR,ENG,UR
NOVN UR,NOVN,UR
RAND UR,RAND,UR
ICAD UR,ICAD,UR
ABIO UR,ABIO,UR
KIN UR,KIN,UR
AAXJ UQ,AAXJ,UQ
ACWI UQ,ACWI,UQ
DVY UQ,DVY,UQ
EEMA UQ,EEMA,UQ
EMB UQ,EMB,UQ
EUFN UQ,EUFN,UQ
IBB UQ,IBB,UQ
IEF UQ,IEF,UQ
IEI UQ,IEI,UQ
MCHI UQ,MCHI,UQ
QQQ UQ,QQQ,UQ
SHY UQ,SHY,UQ
SLQD UQ,SLQD,UQ
SMH UQ,SMH,UQ
TLT UQ,TLT,UQ
VCSH UQ,VCSH,UQ
VONE UQ,VONE,UQ
VTHR UQ,VTHR,UQ
VTWO UQ,VTWO,UQ
CRSP UQ,CRSP,UQ
SOXX UQ,SOXX,UQ
ENPH UQ,ENPH,UQ
TELA UQ,TELA,UQ
QH UQ,QH,UQ
LAND UQ,LAND,UQ
FCA UQ,FCA,UQ
BSDE UQ,BSDE,UQ
UG UQ,UG,UQ
TLS UQ,TLS,UQ
QCLN UQ,QCLN,UQ
AGG UP,AGG,UP
ASHR UP,ASHR,UP
CGW UP,CGW,UP
DBJP UP,DBJP,UP
DVYE UP,DVYE,UP
EEM UP,EEM,UP
EIDO UP,EIDO,UP
EWA UP,EWA,UP
EWC UP,EWC,UP
EWG UP,EWG,UP
EWJ UP,EWJ,UP
EWM UP,EWM,UP
EWP UP,EWP,UP
EWS UP,EWS,UP
EWT UP,EWT,UP
EWW UP,EWW,UP
EWZ UP,EWZ,UP
FEZ UP,FEZ,UP
FXI UP,FXI,UP
GDX UP,GDX,UP
GDXJ UP,GDXJ,UP
GLD UP,GLD,UP
HEWJ UP,HEWJ,UP
HYG UP,HYG,UP
IEMG UP,IEMG,UP
IJH UP,IJH,UP
IJR UP,IJR,UP
IOO UP,IOO,UP
IVV UP,IVV,UP
IWM UP,IWM,UP
IWV UP,IWV,UP
KBE UP,KBE,UP
LQD UP,LQD,UP
MDY UP,MDY,UP
OIH UP,OIH,UP
RWO UP,RWO,UP
SLV UP,SLV,UP
SPIB UP,SPIB,UP
SPTL UP,SPTL,UP
SPY UP,SPY,UP
TIP UP,TIP,UP
URTH UP,URTH,UP
VIOO UP,VIOO,UP
VNQ UP,VNQ,UP
VOO UP,VOO,UP
VYM UP,VYM,UP
XBI UP,XBI,UP
XLE UP,XLE,UP
XLF UP,XLF,UP
XLK UP,XLK,UP
XLU UP,XLU,UP
XLV UP,XLV,UP
XME UP,XME,UP
XOP UP,XOP,UP
DIA UP,DIA,UP
KRE UP,KRE,UP
ARKK UP,ARKK,UP
IHI UP,IHI,UP
SCC UP,SCC,UP
MINT UP,MINT,UP
VIS UP,VIS,UP
DBS UP,DBS,UP
CRBN UP,CRBN,UP
SPSB UP,SPSB,UP
HART UP,HART,UP
CORP UP,CORP,UP
HYLD UP,HYLD,UP
IDNA UP,IDNA,UP
QDIV UP,QDIV,UP
ROBO UP,ROBO,UP
EZJ UP,EZJ,UP
IG UP,IG,UP
INCO UP,INCO,UP
INDF UP,INDF,UP
GBF UP,GBF,UP
INFL UP,INFL,UP
JPN UP,JPN,UP
TFI UP,TFI,UP
RXL UP,RXL,UP
SCHP UP,SCHP,UP
BAR UP,BAR,UP
UMI UP,UMI,UP
COMB UP,COMB,UP
PBW UP,PBW,UP
BLOK UP,BLOK,UP
BDO UO,BDO,UO
XPEV UN,XPEV,UN
SRG UN,SRG,UN
INFY UN,INFY,UN
C UN,C,UN
DAL UN,DAL,UN
JPM UN,JPM,UN
UNH UN,UNH,UN
BAC UN,BAC,UN
BK UN,BK,UN
BLK UN,BLK,UN
GS UN,GS,UN
KMI UN,KMI,UN
SCHW UN,SCHW,UN
USB UN,USB,UN
AA UN,AA,UN
STZ UN,STZ,UN
IBM UN,IBM,UN
JNJ UN,JNJ,UN
WFC UN,WFC,UN
ABT UN,ABT,UN
LEN UN,LEN,UN
HON UN,HON,UN
MS UN,MS,UN
PM UN,PM,UN
TSM UN,TSM,UN
UNP UN,UNP,UN
AXP UN,AXP,UN
KO UN,KO,UN
KSU UN,KSU,UN
MAN UN,MAN,UN
SLB UN,SLB,UN
STT UN,STT,UN
SYF UN,SYF,UN
HAL UN,HAL,UN
EDU UN,EDU,UN
EQR UN,EQR,UN
KMB UN,KMB,UN
LMT UN,LMT,UN
MCD UN,MCD,UN
NUE UN,NUE,UN
PG UN,PG,UN
SKX UN,SKX,UN
